# File: iso_GCAM_regID.csv,,,,,,
# Title: ISO to GCAM region mapping,,,,,,
# Units: NA,,,,,,
# Description: Maps iso codes to GCAM regions (including composites as necessary),,,,,,
# Column types: ccci ,,,,,,
# ----------,,,,,,
iso,country_name,region_GCAM3,GCAM_region_ID,IPCC_five_region_ID,timezone,Edgar_country_name 
fsm,"Micronesia, Federated States of",Southeast Asia,29,3,,
mda,"Moldova, Republic of",Former Soviet Union,14,2,,Moldova
mco,Monaco,Western Europe,13,0,,
mng,Mongolia,China,10,3,8,
mne,Montenegro,Eastern Europe,15,1,,
msr,Montserrat,Latin America,9,0,,
mar,Morocco,Africa,3,4,,
moz,Mozambique,Africa,4,4,,
mmr,Myanmar,Southeast Asia,29,3,,Myanmar/Burma
nam,Namibia,Africa,4,4,,
nru,Nauru,Southeast Asia,29,0,,
npl,Nepal,Southeast Asia,27,3,,
nld,Netherlands,Western Europe,13,1,,
ant,Netherlands Antilles,Latin America,9,0,,
ncl,New Caledonia,Southeast Asia,29,3,,
nzl,New Zealand,Australia_NZ,6,1,,
nic,Nicaragua,Latin America,9,5,,
ner,Niger,Africa,5,4,,
nga,Nigeria,Africa,5,4,1,
niu,Niue,Australia_NZ,29,0,,
nfk,Norfolk Island,Australia_NZ,29,0,,
mnp,Northern Mariana Islands,Southeast Asia,29,0,,
nor,Norway,Western Europe,16,1,,
omn,Oman,Middle East,21,4,,
pci,Pacific Islands Trust Territory,Southeast Asia,29,0,,
pak,Pakistan,Southeast Asia,22,3,,
plw,Palau,Southeast Asia,29,0,,
pse,"Palestinian Territory, Occupied",Middle East,21,4,3,
pan,Panama,Latin America,9,5,,
png,Papua New Guinea,Southeast Asia,29,3,,
pry,Paraguay,Latin America,26,5,,
per,Peru,Latin America,26,5,,
phl,Philippines,Southeast Asia,29,3,,
pcn,Pitcairn Islands,Southeast Asia,29,0,,
pol,Poland,Eastern Europe,12,1,,
prt,Portugal,Western Europe,13,1,,
pri,Puerto Rico,USA,1,1,,
qat,Qatar,Middle East,21,4,,
reu,Reunion,Africa,2,4,,
rou,Romania,Eastern Europe,12,1,,
rus,Russian Federation,Former Soviet Union,23,2,,Russia
rwa,Rwanda,Africa,2,4,2,
shn,Saint Helena,Africa,13,0,,"Saint Helena, Ascension and Tristan da Cunha"
kna,Saint Kitts and Nevis,Latin America,9,0,,
lca,Saint Lucia,Latin America,9,0,,
spm,Saint Pierre and Miquelon,Canada,13,0,,
vct,Saint Vincent and the Grenadines,Latin America,9,0,,
wsm,Samoa,Southeast Asia,29,3,,
smr,San Marino,Western Europe,13,0,,
stp,Sao Tome and Principe,Africa,5,0,,
sau,Saudi Arabia,Middle East,21,4,,
sen,Senegal,Africa,5,4,,
srb,Serbia,Eastern Europe,15,1,,
scg,Serbia and Montenegro,Eastern Europe,15,0,,
syc,Seychelles,Africa,29,0,,
sle,Sierra Leone,Africa,5,4,,
sgp,Singapore,Southeast Asia,29,3,,
svk,Slovakia,Eastern Europe,12,1,,
svn,Slovenia,Eastern Europe,12,1,,
slb,Solomon Islands,Southeast Asia,29,3,,
som,Somalia,Africa,2,4,,
zaf,South Africa,Africa,24,4,,
sds,South Sudan,Africa,2,4,,
esp,Spain,Western Europe,13,1,,Spain and Andorra
lka,Sri Lanka,Southeast Asia,27,3,,
sdn,Sudan,Africa,2,4,,
sur,Suriname,Latin America,25,5,,
sjm,Svalbard and Jan Mayen Islands,Western Europe,16,0,,
swz,Swaziland,Africa,4,4,,
swe,Sweden,Western Europe,13,1,,
che,Switzerland,Western Europe,16,1,,Switzerland and Liechtenstein
syr,Syrian Arab Republic,Middle East,21,4,,Syria
twn,Taiwan,Southeast Asia,30,3,,
tjk,Tajikistan,Former Soviet Union,10,2,5,
tza,"Tanzania, United Republic of",Africa,4,4,3,Tanzania
tha,Thailand,Southeast Asia,29,3,,
tls,Timor Leste,Southeast Asia,29,3,,
tgo,Togo,Africa,5,4,,
tkl,Tokelau,Australia_NZ,29,0,,
ton,Tonga,Southeast Asia,29,0,,
tto,Trinidad and Tobago,Latin America,9,5,,
tun,Tunisia,Africa,3,4,,
tur,Turkey,Western Europe,15,1,,
tkm,Turkmenistan,Former Soviet Union,10,2,,
tca,Turks and Caicos,Latin America,13,0,,
tuv,Tuvalu,Southeast Asia,29,0,,
uga,Uganda,Africa,2,4,3,
ukr,Ukraine,Former Soviet Union,14,2,,
are,United Arab Emirates,Middle East,21,4,,
gbr,United Kingdom,Western Europe,13,1,,
usa,United States of America,USA,1,1,,United States
ury,Uruguay,Latin America,26,5,,
uzb,Uzbekistan,Former Soviet Union,10,2,5,
vut,Vanuatu,Southeast Asia,29,3,,
vat,Vatican,Western Europe,13,0,,
ven,Venezuela,Latin America,25,5,,
vnm,Viet Nam,China,29,3,,Vietnam
vgb,"Virgin Islands, British",Latin America,13,0,,British Virgin Islands
vir,"Virgin Islands, U.S.",Latin America,1,5,,
wlf,Wallis and Futuna,Australia_NZ,13,0,,
esh,Western Sahara,Africa,3,4,,
yem,Yemen,Middle East,21,4,,
yug,"Yugoslavia, Federal Republic of",Eastern Europe,15,0,,
zmb,Zambia,Africa,4,4,,
zwe,Zimbabwe,Africa,4,4,,
